Date Set,Case No,Location,ParcelID,Eff. Date
04/29/2013,200179,3138 GARLAND AVE,046C00890000,08/23/2010
02/05/2013,202447,407 N 28TH ST,004G00510000,07/17/2012
11/26/2013,202764,1524 W ST CATHERINE ST,037G01150000,11/26/2013
11/26/2013,203226,1726 PRENTICE ST,037D00950000,11/26/2013
11/13/2013,203382,1625 MCCLOSKEY AVE,039F01780000,07/07/2011
04/24/2013,203473,2216 STANDARD AVE,041C01590000,08/01/2013
03/13/2013,203825,3240 VERMONT AVE,007J01140000,11/15/2011
02/28/2013,203981,1111 ZANE ST,037J01080000,11/29/2012
04/23/2013,204741,923 S JACKSON ST,022A01440000,04/05/2010
05/06/2013,205884,2632 HALE AVE,046K00960000,10/13/2011
03/19/2013,205933,3224 PORTLAND AVE,010B00040000,03/19/2013
01/23/2013,206416,4324 RIVER PARK DR,006A00200000,10/02/2012
11/13/2013,206715,1119 DIXIE HWY,037D00040000,11/13/2013
10/10/2013,207162,335 N 23RD ST,003F01710000,03/27/2012
03/13/2013,207797,617 DRESDEN AVE,052C02280000,03/13/2013
11/11/2013,207856,1836 W KENTUCKY ST,038C00220000,11/11/2013
06/12/2013,208260,4114 BANK ST,011E00320000,10/02/2012
10/18/2013,218846,644 DAVIES AVE,034F00630000,05/31/2011
03/12/2013,219155,219 S 28TH ST 1,002B01370000,03/12/2013
10/14/2013,219692,1316 BALDWIN ST,039C01660000,10/14/2013
10/14/2013,219694,1314 BALDWIN ST,039C01660000,10/14/2013
04/30/2013,220009,235 S SHAWNEE TER,008A00980000,10/13/2011
02/13/2013,222339,3032 PENWAY AVE,040K01830061,10/11/2013
03/21/2013,222519,2022 WILSON AVE,041A00640000,10/15/2012
05/22/2013,223099,1746 BOLLING AVE,039F00950000,04/24/2006
05/08/2013,223128,519 DR W J HODGE ST,002K00350000,07/31/2012
04/09/2013,223202,3137 W KENTUCKY ST,046C00680000,10/20/2006
01/30/2013,224737,815 S 23RD ST,036G01000000,09/13/2012
03/15/2013,227376,2331 DUMESNIL ST,038G00180000,07/16/2008
03/15/2013,227378,2329 DUMESNIL ST,038G00190000,07/26/2011
04/03/2013,227873,3418 W KENTUCKY ST,045B00430000,01/09/2014
03/21/2013,228735,4140 FORDSON WAY,047B00700000,03/15/2010
10/07/2013,228900,1451 S 23RD ST,041C01560000,01/25/2012
01/09/2013,229038,2308 GARLAND AVE,038A01480000,12/10/2013
10/03/2013,229336,521 N 31ST ST,004A00080000,10/03/2013
04/08/2013,230023,725 LOUIS COLEMAN JR DR,043G01740000,04/08/2013
01/09/2013,230586,3229 LARKWOOD AVE 1,008H00210000,02/07/2012
04/09/2013,230811,2145 W LEE ST,041D00720000,04/28/2011
05/08/2013,232838,2118 GREENWOOD AVE,038F01290000,09/21/2005
02/13/2013,237608,2727 DUMESNIL ST,046K00100000,08/24/2012
01/22/2013,237901,916 S 32ND ST,045C00760000,10/04/2012
04/01/2013,237930,2515 ROWAN ST,003E00170000,07/23/2012
11/21/2013,238248,2209 GRAND AVE,038E00850000,03/20/2009
02/18/2013,239142,2330 ST LOUIS AVE,040J00810000,10/07/2009
03/14/2013,239337,1250 DIXIE HWY,038L01880000,10/15/2012
10/23/2013,240528,347 N 24TH ST,003F01120000,10/11/2011
03/22/2013,241297,2625 W MADISON ST,002H00020000,04/24/2012
05/08/2013,241960,2221 OSAGE AVE,038E00490000,07/05/2012
