CaseLocation,Expenses,LengthAbandoned
3104 LENCOTT DR,649.5,347
3104 PRESTON HWY,0,576
3104 TALISMAN RD,127,1285
3105 DUMESNIL ST,4236.0199999999995,1585
3105 ELLIOTT AVE,0,389
3105 RADIANCE RD,680.5,521
3106 BRIDWELL DR,0,1584
3106 NORTHWESTERN PKY,0,443
3106 VIRGINIA AVE,362.9,1334
3106 WOODLAND AVE,5754.85,1556
3108 BRIDWELL DR,0,1584
3108 VIRGINIA AVE,5403.84,1556
3108 W BROADWAY 2,334.5,792
3109 DANBURY CT,0,1438
3109 GREENWOOD AVE,1585.25,1373
3109 HALE AVE,2781.71,1373
3109 HEWITT AVE,0,10
3109 WOODLAND AVE,750.51,824
311 AMY AVE,0,743
311 INVERNESS AVE,1880.94,1461
311 N 40TH ST,0,1179
311 N 43RD ST,0,467
311 N 44TH ST,3909.46,1566
311 S 32ND ST,701,742
311 S WENZEL ST,894.5,828
3110 DUMESNIL ST,0,277
3110 HEWITT AVE,0,485
3111 FLAIR KNOLL DR,324.75,731
3111 GREENWOOD AVE,229.47,1156
3111 HALE AVE,0,885
3112 NORTHWESTERN PKY,694,1082
3112 VIRGINIA AVE,0,192
3114 DUMESNIL ST,3192.62,1466
3114 NORTHWESTERN PKY,1596,1570
3114 W KENTUCKY ST,144.74,318
3114 WILKIE RD,0,430
3115 DEL PARK TER,3503.44,1509
3115 WOODLAND AVE,0,-Inf
3116 MONTANA AVE,4594.61,1545
3116 W JEFFERSON ST,1953.72,1500
3117 GREENWOOD AVE,219,961
3117 HORTON AVE,0,1481
3117 W MUHAMMAD ALI BLVD,304.5,471
3118 DOREEN WAY,2298.5,5
3118 SOUTHERN AVE,763.5,1543
3119 DEL PARK TER,93.75,801
3119 ELLIOTT AVE,3028.41,1514
3119 PORTLAND AVE 1,216.5,1360
3119 RIVER PARK DR,433,376
312 CAMP ST,525.5,599
312 MILITIA DR,726.9399999999999,1202
312 N 27TH ST,0,859
312 S 20TH ST,1599.54,774
312 W KENWOOD WAY,364.2,257
312 W SOUTHSIDE CT,467.94,1460
3120 VIRGINIA AVE,4734.04,1530
3120 W KENTUCKY ST,7441.17,957
3121 GREENWOOD AVE,0,262
3121 HALE AVE,363.97,396
3121 W MAGNOLIA AVE,0,500
3122 VERMONT AVE,2016.5,591
3122 VIRGINIA AVE,678.3199999999999,479
3123 VIRGINIA AVE,62.5,397
3124 ELLIOTT AVE,5494.46,1458
3124 VIRGINIA AVE,95.75,1383
3125 RIVER RD 18,0,1423
3125 RIVER RD 19,66.5,1430
3125 W KENTUCKY ST,2753.38,1292
3126 RIVER PARK DR,730.75,845
3126 VIRGINIA AVE,804.5,1522
3127 ELLIOTT AVE,1684.19,1494
3127 RIVER PARK DR,1679.5,1082
3127 S CRUMS LN,324.75,415
3127 VIRGINIA AVE,2792.25,1250
3127 W KENTUCKY ST 4,1841.63,1045
3128 GARLAND AVE,2182.79,1459
3128 RIVER PARK DR,3411.98,1507
3129 LAKEHEATH DR,125,922
3129 W MUHAMMAD ALI BLVD,2119,792
313 AMY AVE,0,598
313 E BRECKINRIDGE ST,1713.2,1424
313 FAIRLAWN RD,698.68,977
313 LONGVIEW PARK PL,156.25,976
313 N 21ST ST,3639.01,1530
313 N 32ND ST,2742.86,1452
313 N 42ND ST,2453.68,1585
313 S 20TH ST,0,464
313 SOUTHWESTERN PKY,93.75,299
3130 POPLAR LEVEL RD,0,64
3130 RIVER PARK DR,3011.08,1398
3130 W MARKET ST,0,775
3131 MCATEE AVE,2827.41,1509
3132 GARLAND AVE,2903.94,1184
3132 VERMONT AVE,4393.16,1509
3132 W JEFFERSON ST,4572.26,1495
3132 W MUHAMMAD ALI BLVD,1104.98,940
3133 GARLAND AVE,0,723
3133 PORTLAND AVE,719.14,1187
3134 GARLAND AVE,1012.25,1558
3135 DOREEN WAY,0,1017
3137 W KENTUCKY ST,2845,1500
3138 GARLAND AVE,5136.54,1445
3139 VERMONT AVE,4205.22,1515
314 N 22ND ST,4216.51,1381
314 N 27TH ST,1752.19,576
314 N 32ND ST,0,-Inf
314 N 42ND ST,0,656
314 S 20TH ST,1106,806
314 S 26TH ST,0,-Inf
3143 DEL PARK TER,8443.93,1454
3143 VERMONT AVE,3162.75,1509
3146 RIVER PARK DR,344.2,80
3147 S 3RD ST,93.75,32
3148 SUNNY LN,0,1059
3149 RIVER PARK DR,203,683
315 N 21ST ST,3952.64,1530
315 ROLAND ST,0,339
315 W FAIRMONT AVE,4005.32,1522
315 W OAK ST,930.75,242
3150 VERMONT AVE,4224.64,1488
3152 VERMONT AVE,938.22,1438
3158 S 3RD ST,0,727
316 CECIL AVE,1350.75,775
316 LOUIS COLEMAN JR DR,1885,1451
316 N 20TH ST,868.22,1584
316 N 24TH ST,4726.97,1473
316 N 27TH ST,97.54,1108
316 S 26TH ST,0,116
317 E KENTUCKY ST,1280,850
317 IOWA AVE,1875.71,1522
317 KENNY BLVD,205.49,508
317 N 20TH ST,3841.1800000000003,1520
317 N 21ST ST,3847.56,1536
317 N 34TH ST,1050.75,467
317 S 39TH ST,1791.5,1069
317 S 43RD ST,1277.19,1466
317 SHORT ST,203,710
318 M ST,847.71,306
318 N 20TH ST,246.5,29
318 N 21ST ST,1159.25,1006
318 N 22ND ST,2244.68,1279
318 N 29TH ST,1419.25,1101
318 N 43RD ST,0,954
318 S 43RD ST,2414.66,1173
318 S SHAWNEE TER,6051.35,1440
318 S WENZEL ST,0,453
319 CECIL AVE,3763.04,1557
319 FREEMAN AVE,304.5,186
319 N 20TH ST,968.01,1198
319 N 25TH ST,2703.19,1521
319 N 32ND ST,1449.72,1172
319 S 43RD ST,3477.36,1466
319 SHAWNEE DR,479.75,865
320 FREEMAN AVE,242.65,1164
320 M ST,966.28,397
320 N 20TH ST,2084.95,1431
320 S 41ST ST,1126.23,711
320 W KENWOOD WAY,0,1053
3200 CRUMS LN,354.75,145
3200 RUDD AVE,1929.58,1437
3200 W KENTUCKY ST,2416.45,1523
3201 E INDIAN TRL,259.47,415
3201 GREENWOOD AVE,202.65,214
3202 DOVER AVE,0,1522
3203 LENCOTT DR,0,762
3206 HUBERTA DR,613,1493
3206 QUINTON DR,0,1496
3206 VIRGINIA AVE,3431.75,367
3206 W MARKET ST,0,775
3207 TEAKWOOD CIR,0,333
3208 HILLVIEW DR,95.75,1552
3208 ROCKAWAY DR,1150.75,1556
3208 TARA GALE DR,608.68,494
3208 VIRGINIA AVE,4754.4,1439
3209 GRAND AVE,2772.14,1569
3209 TAYLOR BLVD 1,0,1489
3209 W BROADWAY,1069.25,1474
321 N 25TH ST,3214.81,1104
3210 HARTLAGE CT,0,642
3211 HALE AVE,0,436
3211 VIRGINIA AVE,714.5,1381
3211 W KENTUCKY ST,5686.55,1468
3211 WILKIE RD,354.75,522
3212 BRIDWELL DR,0,927
3212 GARLAND AVE,634.76,184
3213 DONALD DR,0,1521
3214 GARLAND AVE,0,1402
3215 DONALD DR,0,1206
3215 GRAND AVE,488.94,1468
3215 GREENWOOD AVE,0,1584
3215 HALE AVE,982.24,1198
3215 KIRBY AVE,5695.58,1018
3216 KIRBY AVE,984.0699999999999,473
3216 PORTLAND AVE,0,31
3217 GREENWOOD AVE,1401.26,332
3217 VIRGINIA AVE,1276.25,498
3218 GRAND AVE,547.5,158
3218 HUBERTA DR,1570.22,1521
3218 STEGNER AVE,0,1250
3219 TEAKWOOD CIR,0,1061
322 CECIL AVE,0,347
322 E KENWOOD DR,0,484
322 N 20TH ST,3379.72,1187
322 N 21ST ST,2173.95,1479
322 N 36TH ST,0,479
322 S 41ST ST,775.26,649
322 S SHAWNEE TER,383.97,1152
3220 TEAKWOOD CIR,256.5,1563
3221 GREENWOOD AVE,5557.58,1508
3221 POPLAR VIEW DR,0,1564
3221 S CRUMS LN,0,604
3223 GREENWOOD AVE,5934.29,1279
3223 KIRBY AVE,4487.33,1544
3224 PORTLAND AVE,250,1570
3224 W KENTUCKY ST,0,306
3225 FURMAN BLVD,406,741
3225 VIRGINIA AVE,4715.32,1556
3226 NEW LYNNVIEW DR,1580.5,1577
3226 PORTLAND AVE,521.5699999999999,758
3226 VERMONT AVE,0,-Inf
3226 W MUHAMMAD ALI BLVD,1246.97,1452
3227 RIVER PARK DR 1,2675.29,1496
3227 VERMONT AVE,3732.2,1265
3228 HERMAN ST,3697.4,1507
3228 KIRBY AVE,4866.29,1459
3228 LARKWOOD AVE,256.5,78
3229 HALE AVE,554.22,1198
3229 HERMAN ST,7961.66,1452
3229 LARKWOOD AVE 1,1340.44,1493
3229 RIVER PARK DR,2109.45,1459
3229 W JEFFERSON ST,1608.75,191
323 N 20TH ST,2393.96,1551
323 N 24TH ST,0,120
323 N 25TH ST,3229.08,1264
323 N 34TH ST,1639.24,1220
323 S 42ND ST,1453.29,1346
3230 LARKWOOD AVE,256.5,78
3231 W KENTUCKY ST,2586.82,1306
3232 GRAND AVE,1713.44,1569
3232 LARKWOOD AVE,2480.88,1508
3232 LENCOTT DR,4163.09,1132
3232 TAYLOR BLVD,0,-Inf
3233 GRAND AVE,2361.02,1535
3234 HERMAN ST,802.36,1327
3234 LARKWOOD AVE,4396.09,1508
3235 DEL PARK TER,1677.29,537
3235 NORTHWESTERN PKY,474.25,1557
3235 RIVER PARK DR 1,1533.25,1486
3235 VERMONT AVE,0,-Inf
3235 W MUHAMMAD ALI BLVD,3158,1501
3236 W MUHAMMAD ALI BLVD,1404.24,1171
3237 LARKWOOD AVE,460.5,683
3237 VIRGINIA AVE,901.3199999999999,712
3238 TAYLOR BLVD,108.25,345
3238 VERMONT AVE,426.7,752
3238 W JEFFERSON ST,6974,1509
3239 GREENDALE DR,272,1375
3239 HERMAN ST,1626.25,1452
324 N 19TH ST,201.7,241
324 S 43RD ST,62.5,822
3240 VERMONT AVE,93.75,752
3241 W MUHAMMAD ALI BLVD,449.5,836
3242 W JEFFERSON ST,223,1200
3243 HIKES LN,97.54,865
3243 POPLAR VIEW DR,1557,352
3243 W MUHAMMAD ALI BLVD,341.25,836
3244 W JEFFERSON ST,246.5,68
3245 W MUHAMMAD ALI BLVD,590.72,1171
3249 TAYLOR BLVD,565,1486
3249 W MUHAMMAD ALI BLVD,1318.4299999999998,1488
325 CECIL AVE,0,11
325 N 20TH ST,2420.85,1523
325 N 23RD ST,108.25,36
325 S JANE ST,2578.61,1559
3251 VIRGINIA AVE,4478.12,1446
3252 LARKWOOD AVE,845.75,1507
3255 BARDSTOWN RD,0,892
3255 VIRGINIA AVE,0,478
3258 TAYLOR BLVD,1660,794
326 N 18TH ST,0,473
326 N 22ND ST,4627.5,1503
326 N 23RD ST,828.75,1520
326 N 24TH ST,4300.13,1473
326 N 36TH ST,518,227
3263 TAYLOR BLVD,621,837
327 N 20TH ST,0,108
327 N 22ND ST,6806.45,1523
3270 TAYLOR BLVD,666,744
3271 TAYLOR BLVD,0,762
3273 TAYLOR BLVD,1152.96,1536
328 N 18TH ST,0,414
328 N 20TH ST,0,484
328 N 21ST ST,933.97,640
328 N 23RD ST,216.5,36
328 N 24TH ST,2806.75,1473
3283 TAYLOR BLVD,62.5,137
329 N 20TH ST,324.75,1128
329 N 43RD ST,3079.14,1566
329 S SPRING ST,766.4,1209
3291 TAYLOR BLVD,1116.94,1290
33 DAYTONA DR,156.25,899
330 N 22ND ST,1130,604
3300 APPLE HILL RD,1032.62,103
3301 7TH STREET RD,0,1139
3301 GREENWOOD AVE,473,1156
3301 PENWAY AVE,2314.91,1215
3302 BANK ST,246.5,759
3302 DUMESNIL ST,819,660
3302 NORA LN,0,74
3302 TEAKWOOD CIR,1044,850
3303 7TH STREET RD,0,1139
3303 GREENWOOD AVE,2923.79,1508
3304 BOWIE DR,615,1258
3304 BRECKENRIDGE LN,395,1020
3304 CAMP GROUND RD,1114.25,1136
3304 GREENWOOD AVE,0,1507
3304 RUDD AVE,4194.07,1285
3304 W KENTUCKY ST,0,736
3305 RUDD AVE,1910.42,1083
3305 WOODLAND DR,1958.5,191
3306 BOHANNON AVE,0,1185
3306 TEAKWOOD CIR,236.5,486
3307 LINWOOD AVE,1713.78,1496
3307 SUMNER RD,355.58000000000004,338
3308 GREENWOOD AVE,0,1510
3308 HALE AVE,1712.5,1522
3308 W MARKET ST,0,775
3309 7TH STREET RD,0,1139
3309 HUDSON AVE,577.75,346
3309 PENWAY AVE,1412.45,705
331 E ST CATHERINE ST,5772.45,1363
331 N 25TH ST,0,393
3310 GARLAND AVE,269.99,1341
3310 GREENWOOD AVE,900.5,929
3310 SHANKS LN,1305.25,479
3310 VIRGINIA AVE,3508,1494
3311 BELLS LN,688.01,1510
3311 BOHANNON AVE,0,1536
3311 KIRBY AVE,1672.5,1090
3311 LINWOOD AVE,350.75,1515
3311 PENWAY AVE,983.5,955
3311 W MARKET ST,0,1530
3312 BANK ST,0,394
3312 POWELL AVE,654.25,1207
3313 BANK ST,6002.27,1562
3313 BELLS LN,320,991
3313 CAMP GROUND RD,1800.07,961
3313 ELLIS WAY,1985.5,634
3313 GRAND AVE,5988.5,1569
3313 HALE AVE,3997.72,1569
3313 TERRIER LN,101.5,520
3314 GARLAND AVE,463,1115
3314 KIRBY AVE,0,1543
3314 OLEANDA AVE,961.5,1514
3314 W KENTUCKY ST,3961.75,1445
3314 W MAIN ST,3767.37,1496
3315 CAMP GROUND RD,124.05,767
3315 NORTHWESTERN PKY,4865.53,1487
3315 VAN WINKLE DR,95.75,1552
3316 FARNSLEY RD,0,1235
3316 GARLAND AVE,387.25,128
3316 TAYLOR BLVD,351.5,1563
3317 BANK ST,0,781
3317 GREENWOOD AVE,426,151
3317 HALE AVE,852.5,166
3317 HUDSON AVE,2552.72,1496
3318 LINWOOD AVE,0,110
3318 WIZARD AVE,0,506
3319 GREENWOOD AVE,590,166
332 N 23RD ST,2406.33,1521
332 N 27TH ST,1765.01,1186
3320 HALE AVE,4734.81,1555
3320 HUDSON AVE,0,107
3320 VIRGINIA AVE,2620.92,1569
3321 LINWOOD AVE,547.5,164
3321 MOULTON LN,0,432
3321 RUDD AVE,0,88
3322 CAWEIN WAY,220.5,1579
3322 LINWOOD AVE,703.68,537
3322 MOULTON LN,0,982
3322 VIRGINIA AVE,4649.9,1569
3322 WIZARD AVE,0,1139
3322 WOODLAND DR,404.35,1166
3323 DUMESNIL ST,2885.87,1572
3323 HALE AVE,163.83,1446
3323 HEATHER LN,433,432
3324 BLANTON LN,8389.71,1473
3324 PEACHTREE AVE,95.75,1305
3324 WIZARD AVE,644.74,79
3325 GARLAND AVE,4208.16,1509
3325 GREENWOOD AVE,638,1234
3325 HUDSON AVE,1167.77,676
3325 W KENTUCKY ST,229.47,463
3326 LINWOOD AVE,757.5,501
3326 VIRGINIA AVE,5976.5,1569
3327 ALGONQUIN PKY,757.75,737
3327 FURMAN BLVD,0,738
3327 HUDSON AVE,859.29,471
3327 LINWOOD AVE,101.5,444
3327 W KENTUCKY ST,229.47,463
3328 HALE AVE,452.47,1198
3328 VIRGINIA AVE,0,1158
3329 GARLAND AVE,3373.89,1495
333 N 22ND ST,4052.66,1468
333 N 42ND ST,1288.1200000000001,1312
3331 PENWAY AVE,203,772
3332 HALE AVE,114.74,1198
3332 PENWAY AVE,0,1437
3335 PENWAY AVE,233,107
3337 PENWAY AVE,1218.54,276
3339 PENWAY AVE,203,107
334 N 24TH ST,1001.74,1179
334 N 27TH ST,0,1108
334 N 41ST ST,0,341
334 S 42ND ST,0,1237
3341 KRAMERS LN,1781.3200000000002,1360
3342 GRAND AVE,4795.46,1535
3344 VAN WINKLE DR,1049.75,1283
3346 GRAND AVE,3676.27,1530
3349 GRAND AVE,0,1446
335 GLENDORA AVE,3640.54,1564
335 INVERNESS AVE,203,663
335 N 23RD ST,3602.5,1572
335 N 25TH ST,1189.5,1059
3351 CAMP GROUND RD,3690.84,851
3352 LESTER AVE,0,138
3355 CAMP GROUND RD,4661.64,1529
336 N 22ND ST,5461.95,1530
336 N 24TH ST,799.97,1174
3361 CAMP GROUND RD,952,1495
337 N 22ND ST,3936.09,1528
337 N 23RD ST,1403.51,736
337 N 42ND ST,1997.72,935
337 S HUBBARDS LN,200.25,1418
337 S SHAWNEE TER,405.82,803
337 STEIN CT,1812,1412
3375 DEARCY AVE,0,543
338 E ORMSBY AVE,229.47,73
338 GHEENS AVE,0,1412
338 N 23RD ST,565.5,1584
338 N 24TH ST,674.97,1174
339 N 24TH ST,297,806
339 S 43RD ST,236.5,381
339 S SHAWNEE TER,93.75,998
340 E ORMSBY AVE,114.74,73
340 N 23RD ST,1670.04,1425
340 N 24TH ST,770.72,1200
340 S 43RD ST,3886.69,1466
3400 E INDIAN TRL,701.5,1409
3400 HARDWOOD FOREST DR,0,374
3400 POWELL AVE,334.5,472
3400 SHANKS LN,1770.72,479
3401 BANK ST,4929.55,1143
3401 CHAUNCEY AVE,0,1565
3401 VIRGINIA AVE,1749.97,1439
3402 SWANSEA CT,0,1466
3402 VIRGINIA AVE,5549.47,1521
3403 BOXELDER RD 1,6322.19,766
3403 BOXELDER RD 4,477,1285
3403 ENDEAVOR WAY,507.5,1152
3403 GREENWOOD AVE,4259.25,1544
3403 HALE AVE,821.75,1376
3403 LEES LN,794.5,1083
3403 OLIVE RD,433,408
3403 SHANKS LN 1,4950.36,1551
3403 TAYLOR BLVD,0,100
3404 OLIVE RD,0,1221
3405 BOXELDER RD 1,3709,789
3405 GREENWOOD AVE,1830.22,1584
3405 NIANTIC CT,995.2,1433
3405 SHAGBARK RD 1,222,192
3405 W JEFFERSON ST,0,991
3405 W KENTUCKY ST,2754.61,1492
3406 DEIBEL WAY,0,54
3406 LENOIR AVE,427.25,831
3407 NIANTIC CT,279,737
3407 ROWENA RD 1,0,-Inf
3407 SUMAC RD,618,1563
3407 VIRGINIA AVE,0,-Inf
3407 W MARKET ST,4472.5,887
3407 YOUNG AVE,0,737
3408 BRECKENRIDGE LN 4,0,-Inf
3408 PINELAND DR,0,1185
3408 TWIN OAK LN,662,1496
3408 VIRGINIA AVE,301.5,834
3408 W KENTUCKY ST,591.75,101
3409 CHAUNCEY AVE,2027.16,1570
3409 TUBA DR,453,1045
3409 VERMONT AVE,4178.9,1481
3409 VETTER AVE,993.97,1556
3409 W KENTUCKY ST,3805.21,1508
3409 W MUHAMMAD ALI BLVD,2664.41,1510
3410 RIVER PARK DR,1131.5,1438
3410 VIRGINIA AVE,1638.3700000000001,1205
3410 W MARKET ST,2678.49,1494
3411 CHAUNCEY AVE,2049.16,1565
3411 CHENOWETH RUN RD,1567.44,1292
3411 FOREMAN LN,0,787
3411 PINECROFT DR,429.5,859
3411 SHAGBARK RD 1,684.95,1537
3411 SHANKS LN 4,0,1041
3411 VERMONT AVE,216.5,837
3411 W KENTUCKY ST,408,1445
3412 MIRACLE DR,0,1563
3412 ROWENA RD,0,418
3412 W KENTUCKY ST,4654.94,1529
3412 WINNLAND DR,0,1557
3413 ADDISON AVE,0,474
3413 BELLS LN,1354.47,992
3413 GRAND AVE,1265.1299999999999,1219
3413 HUDSON AVE,0,24
3413 SHAGBARK RD 1,608.76,1537
3413 W KENTUCKY ST,281.5,1212
3413 W MUHAMMAD ALI BLVD,351.75,1459
3414 W KENTUCKY ST,64.5,1398
3415 DEARCY AVE,0,1158
3415 DUNCAN ST,3533.59,1562
3415 SHAGBARK RD 1,671.52,1537
3415 W JEFFERSON ST,5670.26,1451
3415 W KENTUCKY ST,799,1369
3416 CLARINET DR,0,24
3416 LARKWOOD AVE,1875.46,1370
3416 VIRGINIA AVE,0,1130
3417 HALE AVE,919.5,955
3417 SHAGBARK RD 1,251.38,1528
3417 W MUHAMMAD ALI BLVD,3326.73,1248
3418 GREENWOOD AVE,0,1584
3418 SUMAC RD,3426.46,1360
3418 W KENTUCKY ST,3145.47,1424
3419 HERMAN ST,775.5,752
3419 SHAGBARK RD 1,0,1313
3419 VIRGINIA AVE,5545.26,1521
3419 W KENTUCKY ST,6133.1,1524
3419 W MUHAMMAD ALI BLVD,2776.07,1205
342 N 24TH ST,871.75,1174
342 N 27TH ST,1381.2,1433
3420 ADDISON AVE,0,-Inf
3420 VETTER AVE,443.65,415
3421 BANK ST,220.5,1369
3421 DUNCAN ST,722.1700000000001,1464
3421 YOUNG AVE,216.5,1557
3422 RICHMONT RD,543.94,494
3422 W MUHAMMAD ALI BLVD,1719.5,835
3423 OLIVE RD,795.5,199
3423 SHERRILL AVE,0,1180
3423 W MARKET ST,1088.47,647
3424 HERMAN ST,566.75,1187
3424 SOUTHERN AVE,733.14,1550
3425 BANK ST,1076.68,1562
3425 DUNCAN ST,459.31,1464
3425 RIVER PARK DR,246.5,536
3425 W MARKET ST,0,284
3426 HALE AVE,4893.07,1438
3426 VIRGINIA AVE,2929.36,1503
3427 HALE AVE,3358.33,1543
3427 VERMONT AVE,1249.65,1475
3427 W MARKET ST,383.97,71
3428 HALE AVE,2578.85,1555
343 N 22ND ST,392.78999999999996,388
343 N 23RD ST,1002,194
343 N 26TH ST,1011,1510
343 N 38TH ST,0,1562
343 S 42ND ST,421.05,1073
343 S SHAWNEE TER,3449.44,1564
3430 HALE AVE,775.35,1530
3430 W MARKET ST,0,1151
3431 GLENDALE AVE,497,1103
3431 LARKWOOD AVE,1370.47,1458
3432 PELESKE DR,0,479
3432 SOUTHMEADE CIR,0,781
3433 DEARCY AVE,1599.84,1550
3433 LARKWOOD AVE,3386,1370
3433 POWELL AVE,259.47,89
3434 W JEFFERSON ST,320.54,128
3435 VIRGINIA AVE,5772.91,1544
3439 LARKWOOD AVE,0,715
3439 VIRGINIA AVE,910.5,151
344 N 24TH ST,493.61,1174
3440 W JEFFERSON ST,3392.67,1374
3441 LARKWOOD AVE,4288.07,843
3442 POWELL AVE,0,1374
3443 ALGONQUIN PKY,363.97,824
3452 GLENDALE AVE,0,492
3457 GLENDALE AVE,93.75,298
3457 ILLINOIS AVE,382.5,1537
346 N 24TH ST,329.5,1174
3462 ILLINOIS AVE,1444.5,851
347 N 24TH ST,5615.82,1520
348 N 24TH ST,660.79,1174
349 HILLCREST AVE,0,472
349 N 23RD ST,778.7,1517
349 N 27TH ST,0,425
350 N 24TH ST,1097.13,1174
3500 CHAUNCEY AVE,593.68,909
3500 RIVER PARK DR,859,841
3500 W BROADWAY,0,865
3500 W MAIN ST,0,1104
3501 CANE RUN RD,555.5,1451
3501 CLARINET DR,730.5,1496
3502 7TH STREET RD,8679.18,1089
3502 ENDEAVOR WAY,649.5,477
3502 TEMPLETON CT,0,374
3502 TWIN OAK LN,0,334
3502 VERMONT AVE,6043.17,1569
3502 W MAIN ST,0,38
3503 RIVER PARK DR,2682.5,1524
3503 W MUHAMMAD ALI BLVD,101.32,172
3504 W MAIN ST,4233.75,1479
3506 AUTUMN WAY,990.94,843
3506 DUTCHMANS LN,0,122
3506 ENDEAVOR WAY,216.5,737
3506 GARLAND AVE,3534.89,1373
3506 GRAND AVE,881.2,677
3506 HALE AVE,471,1499
3506 RIVER PARK DR,2251.93,1284
3506 SUSANNA DR,648.7,492
3506 W MAIN ST,0,68
3507 HALE AVE,1994.6799999999998,1495
3507 KAHLERT AVE,261.5,1446
3507 ORBIT CT,480.5,1523
3508 CHAUNCEY AVE,0,663
3508 HALE AVE,1283,549
3508 RIVER PARK DR,5143.64,1508
351 N 23RD ST,256.5,36
351 N 26TH ST,4507.78,1515
351 SOUTHWESTERN PKY,1417,522
3510 GREENWOOD AVE,4150.18,1549
3510 HERMAN ST,95.75,1389
3511 7TH STREET RD,1393.75,695
3511 HALE AVE,2732.71,1549
3512 HARDWOOD FOREST DR,0,1195
3513 GREENWOOD AVE,0,1339
3514 BANK ST,3596.5,544
3514 CANE RUN RD,294.75,634
3514 VERMONT AVE,393.65999999999997,1459
3514 W BROADWAY,448.5,1410
3514 W MARKET ST 100,0,75
3515 GREENWOOD AVE,1141.5,1156
3515 RIVER PARK DR,3874.2200000000003,1496
3515 VIRGINIA AVE,428.97,1165
3516 ALGONQUIN PKY,0,-Inf
3516 MEADOW BLUFF WAY,0,113
3516 POWELL AVE,0,1480
3518 BURRELL DR,0,500
3518 GEORGETOWN PL 1,0,-Inf
3518 GRAND AVE,344.5,1025
3519 GREENWOOD AVE,1723.91,1191
3519 W KENTUCKY ST,101.5,1082
352 N 24TH ST,898.26,1174
3520 LEITH LN,0,-Inf
3520 VIRGINIA AVE,0,1544
3522 HALE AVE,223,150
3522 KIRBY LN,629.5,1487
3522 PARTHENIA AVE,0,1517
3522 W KENTUCKY ST,0,361
3523 CAMP GROUND RD,1661.25,1326
3523 GREENWOOD AVE,3146.4900000000002,1502
3523 W MUHAMMAD ALI BLVD,638.68,831
3524 GREENWOOD AVE,4518.19,1517
3524 NORTHWESTERN PKY,3107.05,1431
3525 GEORGETOWN PL 1,2820.25,1363
3525 SASSE WAY,191.25,1424
3525 TERRIER LN,163.83,396
3525 VIRGINIA AVE,4152.4,1521
3526 HALE AVE,0,47
3526 HERMAN ST,0,1074
3526 POWELL AVE,0,1139
3526 W KENTUCKY ST,1721.75,683
3527 CRAIG AVE,0,1258
3527 DUMESNIL ST,460.45,810
3527 W MUHAMMAD ALI BLVD,3667.2,1370
3528 PARTHENIA AVE,2830.76,1486
3528 TERRIER LN,0,-Inf
3529 NORTHWESTERN PKY,0,-Inf
3529 TYRONE DR,501,1430
3529 WARNER AVE,0,1061
353 N 26TH ST,746.5,1480
353 N 28TH ST,3278,1468
3530 CRAIG AVE,2763.45,1550
3530 WEXFORD DR,0,1159
3530 WHEELER AVE,140.36,1551
3532 PARTHENIA AVE,0,1496
3534 GREENWOOD AVE,744.25,1566
3534 PARTHENIA AVE,0,495
3536 GREENWOOD AVE,606.25,381
3536 MAYO DR,0,432
3536 PARTHENIA AVE,0,628
3537 POWELL AVE,635,1451
3537 RIVER PARK DR,4730.75,1508
3538 KAHLERT AVE,0,1563
3539 LISBON LN,0,432
3541 RIVER PARK DR,0,347
3543 LENTZ AVE,97,1523
3543 LISBON LN,0,668
3543 POWELL AVE,0,263
355 N 23RD ST,2011.9,1020
356 N 27TH ST,3579.06,1522
3600 LENOIR AVE,634.25,1285
3600 PINELAND DR,427.25,269
3600 TWIN OAK LN,2922.98,1494
3601 FREEDOM WAY,3120.86,548
3601 FRIAR TUCK CT,609,79
3601 GEORGETOWN PL 1,3094,1363
3601 PARTHENIA AVE,344.75,131
3601 POWELL AVE,2792.44,710
3601 TARRAGON RD,728.41,920
3601 VERMONT AVE,806.5,824
3601 W BROADWAY,216.5,502
3602 PARTHENIA AVE,224.31,1474
3603 GEORGETOWN PL 1,0,991
3603 PARTHENIA AVE,0,114
3603 W BROADWAY,2094.1,1097
3603 W MARKET ST 1,3842.3,1536
3604 CANE RUN RD,317.76,1425
3604 HERMAN ST,0,410
3604 KAHLERT AVE,0,1489
3604 MONTCLAIR AVE,1509.75,726
3604 W MUHAMMAD ALI BLVD,4785.18,1571
3604 WHEELER AVE,0,1480
3605 HERMAN ST,1594.08,1117
3606 HENRY AVE,0,389
3606 VALDOSTA AVE,0,688
3607 LARKWOOD AVE,0,1041
3607 TEMPLEWOOD DR,0,1096
3608 NELINDA MAY DR,2677.9700000000003,1027
3608 RIVER PARK DR,656.54,654
3609 HILLCREEK RD,0,502
3610 RALPH AVE,702,1495
3610 W JEFFERSON ST,407.25,899
3610 W MUHAMMAD ALI BLVD,391.5,618
3611 7TH STREET RD,968.25,640
3612 GEORGETOWN PL 1,304.5,418
3612 RUDD AVE,580.7,375
3613 DORSET CT,734,976
3613 LENTZ AVE,2843.75,1579
3613 POWELL AVE,0,1208
3613 ROSEMONT CT,1450.25,929
3614 BRIARCLIFF CT,0,1221
3614 W BROADWAY,1050.25,907
3614 W KENTUCKY ST,1261.19,815
3615 W JEFFERSON ST,591.25,491
3616 FOREMAN LN,0,836
