CaseLocation,Expenses,LengthAbandoned
1035 NAVAHO PL,0,571
1035 OAKWOOD AVE,0,1200
1035 TENNESSEE AVE,1305.75,1559
1035 W INDIAN TRL,758.5,781
1036 LYDIA ST,51,1565
1036 S 6TH ST,0,1552
1037 EUCLID AVE,1953.48,1235
1037 KAISER CT,825.5,436
1037 TENNESSEE AVE,0,746
10381 LOWER RIVER RD,1324.76,1185
1039 LYNNHURST AVE,1132.75,65
1039 S 40TH ST,2207.41,1507
1039 S SHELBY ST,1765.95,1243
1039 W HILL ST,7992.69,1006
104 N 36TH ST,1238.99,429
104 N 38TH ST,699,467
104 S 33RD ST,478,1419
104 S 41ST ST,5241.68,1335
1040 S 28TH ST,438,1445
10403 GRAFTON HALL RD,874,89
10403 PINOAK VIEW DR,0,339
10405 TORRINGTON RD 1,900.5,1577
10408 GREENTREE LN 1,0,703
1041 LOUIS COLEMAN JR DR,1077.54,1556
1041 S SHELBY ST,426,1200
10411 PEBBLESTONE CIR,216.5,381
10411 S DODGE LN,3481.39,1458
10417 LA PLAZA DR,3695.37,1494
1042 S 43RD ST,994.75,390
1043 E WASHINGTON ST,0,1205
1043 EUCLID AVE,0,1074
1043 S 43RD ST,592.5,845
1045 E WASHINGTON ST,0,1214
1045 GARROW CT,1581,1486
1045 S 7TH ST,0,1180
1045 S JACKSON ST,5111.36,1437
1046 S 7TH ST,4466.8,1538
1047 CECIL AVE,6104.59,1584
1048 S 28TH ST,0,1124
1048 S 43RD ST,0,681
1048 TENNESSEE AVE,94,1397
1049 E WASHINGTON ST,0,502
105 N 30TH ST,786.55,642
105 N 34TH ST,0,1356
105 S 42ND ST,4128.66,1291
105 S 43RD ST,1280.69,1578
105 S LONGWORTH AVE,273.5,1578
1050 BARDSTOWN RD,302,831
10500 CHURCH CT,216.5,93
10500 FUTURITY SPRINGS DR,0,1473
10500 THIXTON LN,205.19,1059
10501 MILLERS LN,0,1363
10501 YAGER CT,128.25,338
10502 GREENTREE LN,2922.94,1012
10502 TORRINGTON RD,1380,1297
10503 MILLERS LN,403.97,1164
10504 SCARLET OAK CT,0,362
10504 WAKE CT,0,688
10506 BAY POINTE CT,0,1130
10506 TORRINGTON RD,335,1087
10509 FIRVIEW CT,216.5,744
1051 OAKWOOD AVE,101.32,738
1051 S 32ND ST,344,137
10511 FIRVIEW CT,235,705
10512 AUTUMN CREEK PL,0,717
10512 CHARLESWOOD RD,375.75,745
10515 HILLPARK DR,0,-Inf
10517 GRECIAN RD,812.7,522
10518 FIRVIEW CT,0,1419
10519 HARROGATE CT,324.75,1027
10519 W MANSLICK RD,0,738
1052 E ST CATHERINE ST,0,780
10520 PINOAK VIEW DR,363,767
1053 EUCLID AVE,0,-Inf
1055 SOUTHACRES DR,722.75,880
1057 S 43RD ST,2832.33,1166
1059 QUEEN AVE,62.5,1103
106 CAMBRIDGE DR,814,403
106 DAVENTRY LN,0,74
106 PROSPERITY CT,62.5,905
106 S 42ND ST,4155.5,1530
106 STOLL AVE,541.25,1229
1060 DIXIE HWY,135.61,1179
10602 MITCHELL HILL RD,544.5,1465
10604 WAYCROSS AVE,0,484
10608 W MANSLICK RD,216.5,992
10610 HILLCROSS CT,0,1087
10611 S DODGE LN,689.75,578
10615 TORRINGTON RD,0,1090
10618 NATIONAL TPKE,0,844
10619 BROOKCHASE CT,0,1552
1068 CECIL AVE,1192.5,1111
107 N 30TH ST,1218.86,642
107 N 39TH ST,2365.21,1109
107 S 43RD ST,0,1339
107 S LONGWORTH AVE,210,1101
10701 BACK RUN RD,3991.5,586
10703 NORTHINGTON LN,0,47
10705 MARCITIS RD,857,431
10706 GRAFTON HALL RD,714.5,501
10706 LEELAH CT,806.75,1535
10707 JUNE DR,364.75,477
10708 JUNE DR,253.79,866
10709 PROVIDENCE DR,0,362
10710 ALLEN DR,114,1130
10711 BAYPORT RD,541.25,1090
1078 E KENTUCKY ST,1108.1599999999999,1464
10785 TARRYTOWNE DR,0,474
108 DANNY CT,573.25,1564
108 E BURNETT AVE,985.6600000000001,1537
108 N 35TH ST,1242.08,23
108 N 38TH ST,2395.47,1419
108 N SHAWNEE TER,621.5,781
108 S 30TH ST,3863.12,759
108 S 34TH ST,1511.65,1451
108 S 38TH ST,0,835
10802 DORTON DR,645.7,431
10803 CORBIN CT,1094.94,278
10807 GOLDEN DR,251.5,1095
10810 KAY DR,0,1502
10812 JACQUELINE WAY,0,856
10813 GRAFTON HALL RD,468.32,431
10822 GOLDEN DR,0,627
10825 DORTON DR,1065.5,642
10829 DORTON DR,93.75,465
10840 DORTON DR,5106.34,1577
109 E ST CATHERINE ST,785.97,1521
109 N 30TH ST,368.75,633
109 N 36TH ST,0,1109
109 N 43RD ST,913.5,1234
109 N KEATS AVE,0,1180
109 S 43RD ST,1724.67,1571
109 S 44TH ST,668.75,341
109 STEVENSON AVE,250,1158
109 W GARRETT ST,700,284
109 W WOODLAWN AVE,1280.9,1159
10900 GRAFTON HALL RD,31.25,578
10900 MILWAUKEE WAY,0,463
10900 OAK HARBOR DR,1532.47,187
10901 JEFFERSON HILL RD,849.3,975
10904 MILWAUKEE WAY,436,704
10908 DEERING RD,304.5,341
10913 GRAFTON HALL RD,721.75,1094
10922 OAK HARBOR DR,437,1447
110 N 26TH ST,475.97,508
110 N 43RD ST,281.5,87
110 N LONGWORTH AVE,341.5,894
110 S 20TH ST,2059.8,1103
110 S 34TH ST,820.4,1171
110 S 37TH ST,1491.5,122
110 S 45TH ST,0,1521
110 S ARBOR PARK,0,711
110 S CRESTMOOR AVE,0,642
1100 DRESDEN AVE,0,746
1100 LEHIGH AVE,0,417
11000 GRAFTON HALL RD,0,626
11001 WALBRIDGE CT,0,263
11002 JEFFERSON HILL RD,0,1290
11002 WOODED LAKE CT,1151.25,838
11005 THUNDER DR,1057,1214
11006 BENSON LN,1040,1572
11006 CHAPEL HILL RD,1062.29,793
11007 HARRISON LN,3930.36,1528
11007 THUNDER DR,5543.48,1535
11008 BENSON LN,0,1090
11008 NEPTUNE PL,324.75,1164
1101 CARLISLE AVE,105.11,166
1101 DIXIE HWY,6960.12,1573
1101 LINCOLN AVE,139.15,1181
1101 MILTON ST,1134.5,1486
1101 W HILL ST,54641,1492
11014 NEPTUNE PL,398.25,746
11016 LUNENBURG CT,0,331
11017 NATIONAL TPKE,1176.25,774
11018 NEPTUNE PL,0,1494
1102 S 41ST ST,689.5,401
1102 S 43RD ST,0,-Inf
1103 MULBERRY ST,0,1473
1103 S 26TH ST,0,1230
1104 CARLISLE AVE,371.78999999999996,124
1104 DIXIE HWY,1749.19,1534
1104 LYDIA ST,62.5,1096
1104 S 17TH ST,433,1555
1104 S SHELBY ST,2111,1416
1105 ASH ST,0,115
1105 CECIL AVE,0,1544
1105 CHESLEY DR,0,47
1105 LOGAN ST,4167.33,1403
1105 S 28TH ST,4851.4400000000005,1571
1106 BERRY BLVD,453,1571
1107 FORREST VIEW DR,919,138
1107 LINCOLN AVE,0,128
1107 LOGAN ST,3065.78,717
1108 DIXIE HWY,5270.62,1529
1108 LINCOLN AVE,0,1377
1108 LONGFIELD AVE,125,131
1108 QUEEN AVE,5526.47,1440
1109 CECIL AVE,2074.97,640
1109 HATHAWAY AVE,187.5,1097
1109 LOGAN ST,0,471
1109 S 32ND ST,1682.2,1369
111 N 39TH ST,2492.5,604
111 N KEATS AVE,0,1468
111 S 19TH ST,125,640
111 S 35TH ST,3415.5299999999997,1509
111 SOUTHWESTERN PKY,291.97,620
1110 CENTRAL AVE,543.5,1494
1110 DIXIE HWY,4976.76,1409
1110 LINCOLN AVE,64.5,1452
11101 HARRISON LN,3562.08,1452
11102 THUNDER DR,453,557
11104 TORRINGTON RD,924,341
11105 DEZERN AVE,2684.79,674
1111 IRELAND DR,332.5,1496
1111 LINCOLN AVE,0,1494
1111 LOUIS COLEMAN JR DR,2325.4,785
1111 MOUNT HOLLY RD,674,170
1111 SOUTHWESTERN PKY,603.75,452
1111 W HILL ST,1442.77,1180
11110 THUNDER DR,912.04,1090
11111 THUNDER DR,0,1439
11113 OLIVERDA DR,1696.75,1019
11114 THUNDER DR,0,1067
1112 LEHIGH AVE,0,821
1112 LOUIS COLEMAN JR DR,6101.15,1562
1113 DRESDEN AVE,0,479
1113 S BROOK ST,642.47,1404
1114 ALGONQUIN PKY,1179.97,1397
1114 BERRY BLVD,0,746
1114 E ST CATHERINE ST,1927.5,1124
1114 LOUIS COLEMAN JR DR,5626.75,1562
1114 PLATO TER,0,768
1114 S 32ND ST,525.5,339
1114 TENNESSEE AVE,0,1523
1115 DRESDEN AVE,0,465
1115 HIGHLAND AVE,0,1048
1115 S 28TH ST,943,1149
1116 LILLIAN AVE,3910.2,1550
1116 SAMUEL ST,93.75,1130
1117 CHESLEY DR,0,662
1117 LARCHMONT AVE,1211.9099999999999,298
1117 LOGAN ST,869.88,1517
1117 ROGERS ST,950.5,1479
1117 S 28TH ST,542.5,1501
1117 S 38TH ST,429.5,768
1117 W HILL ST,7380.4,1251
1118 CARLISLE AVE,128.25,184
1118 LILLIAN AVE,1793.65,1438
1118 OKOLONA TER,0,317
1118 SUNDEW AVE,1006.75,1459
1119 DIXIE HWY,249.38,1529
112 HARLAN AVE,93.75,1130
112 N 26TH ST,0,120
1120 CARLISLE AVE,443.5,109
1120 CECIL AVE,0,110
1120 S 32ND ST,1704.47,815
1120 W HILL ST,532,1493
11200 BLUE LICK RD,433,106
11201 OSCAR RD,3650.5,768
11201 SAND LAKE CT,208,1088
11204 BROOKE TRACE CIR,0,733
11207 LANSFORD DR,1096.3600000000001,718
1121 LOUIS COLEMAN JR DR,5214.67,1520
1121 W HILL ST,1014.75,1492
11211 BROOKLEY DR,108.25,453
11212 WILLOWICK CT,0,-Inf
11217 PYRAMID RD,0,418
11219 BROOKLEY DR,241.1,1025
1122 LORETTA ST,0,1578
1123 EUCLID AVE,393.97,1579
1123 LONE OAK AVE,0,-Inf
1123 LOUIS COLEMAN JR DR,120.51,1374
1123 W HILL ST,1165.5,1492
1125 LARCHMONT AVE,0,428
1125 SOUTHWESTERN PKY,0,522
1126 CECIL AVE,0,1472
1126 LORETTA ST,0,1389
1127 S 1ST ST,0,479
1128 PLATO TER,304.5,768
1128 TENNESSEE AVE,0,1027
113 BONNIE LN,216.5,425
113 N 39TH ST,2888.5,1566
113 N 44TH ST,0,1123
113 S 41ST ST,3339.18,1418
113 SOUTHWESTERN PKY,0,306
1130 DIXIE HWY,0,159
1130 PAYNE ST,2090.75,1202
1130 S 26TH ST,2624.67,1544
1130 SALEM AVE,0,1480
11307 BROOKLEY DR,0,106
11316 BRENTLINGER LN,1833.25,1496
11316 CASSIDY LN,573.68,311
11319 PRINCE GEORGE CT,1301,1480
1132 E ST CATHERINE ST,203,409
1132 HOMEVIEW DR,170.4,817
1132 S 26TH ST,1393.5,1158
1132 SALEM AVE,1104.5,1493
1133 S 2ND ST 1,593.67,618
1134 LINCOLN AVE,0,471
1134 S 23RD ST,3142.75,1527
1135 E KENTUCKY ST,0,1523
1135 EVERETT AVE,0,1347
1135 LINCOLN AVE,0,618
1135 S 15TH ST,1925.25,1557
1136 EUCLID AVE,617.45,1551
1136 FISCHER AVE,324.5,817
1136 FRANELM RD,0,1431
1136 S 4TH ST,0,46
1136 S 7TH ST,311.25,44
1137 LORETTA ST,769.75,1452
1138 ALGONQUIN PKY,3012.41,1536
1138 S 7TH ST,0,1153
1139 CECIL AVE,3901.22,1521
1139 LYDIA ST,1058.25,1458
1139 S 32ND ST,4095,1507
1139 S 8TH ST,328.32,1237
114 E EVELYN AVE,225.38,219
114 N 19TH ST,225,163
114 N 39TH ST,1940.72,1566
11403 WHITNEY HILL RD,406,499
11406 DEERING RD,0,1551
11407 CASSIDY LN,0,418
1141 CECIL AVE,158.25,1318
1141 S 7TH ST,127,1418
1141 S 8TH ST,574.58,1502
11410 DEERING RD,1394.19,1164
11410 KENDRICK DR,0,1419
11411 KENDRICK DR,0,1419
11411 NEZ PERCE WAY,449.36,717
11415 FLOWERVALE LN,1176.25,542
11415 PLEASANT DR,773,361
1142 MARKWELL LN,0,809
1142 S 28TH ST,22073.07,1318
1143 DIXIE HWY,2393.09,1527
1143 GOSS AVE,0,1047
