CaseLocation,DateAbandoned,Expenses,PARCELID,ZIP
1706 W ST CATHERINE ST,2016-12-07,93.75,NA,NA
1708 BANK ST,2013-10-29,1662.5,NA,NA
1708 LIBERTY BELL WAY 1,NA,0,NA,NA
1708 ST LOUIS AVE,2013-07-03,4155.99,NA,NA
1708 VALLEY FORGE WAY 1,2013-08-21,494.5,NA,NA
1708 W BURNETT AVE,2014-07-25,0,NA,NA
1708 W ST CATHERINE ST,2015-05-06,1371.5,NA,NA
1709 LAFAYETTE DR 1,2013-07-18,714.5,NA,NA
1710 GAGEL AVE 12,2015-09-30,0,NA,NA
1710 W ST CATHERINE ST,2013-08-21,3201.44,NA,NA
1711 GALLAGHER ST,2013-07-08,1159.38,NA,NA
1711 ST LOUIS AVE,2013-05-22,3790.04,NA,NA
1712 ST LOUIS AVE,2014-02-13,49,NA,NA
1714 PRENTICE ST,2016-08-31,653.5,NA,NA
1715 W ST CATHERINE ST,2013-08-22,679,NA,NA
1717 W ST CATHERINE ST,2014-05-28,47,NA,NA
1718 ST LOUIS AVE,2013-07-31,2214.16,NA,NA
1719 W ST CATHERINE ST,2015-05-06,2027.8,NA,NA
1720 GALLAGHER ST A,2015-07-08,0,NA,NA
1721 TEMPEST WAY 1,2014-10-07,3298.6,NA,NA
1721 W ST CATHERINE ST,2014-05-28,47,NA,NA
1723 W KENTUCKY ST 1,2013-07-29,6959.84,NA,NA
1725 PRENTICE ST,NA,0,NA,NA
1726 BERRY BLVD 101,2015-09-01,426.7,NA,NA
1729 HALE AVE,2013-08-14,3704.55,NA,NA
1729 LYTLE ST,2013-10-15,374.2,NA,NA
173 FRANCIS AVE,2016-07-29,1301.56,NA,NA
1733 W KENTUCKY ST 1,2013-07-11,3650.68,NA,NA
1737 ROWAN ST,2013-07-02,1326.4,NA,NA
1737 W GAULBERT AVE 1,2013-10-22,0,NA,NA
1739 ROWAN ST 1,2013-07-08,1687.9099999999999,NA,NA
1740 HALE AVE,2013-06-14,441,NA,NA
1742 ST LOUIS AVE,2016-08-25,456.25,NA,NA
1743 ST LOUIS AVE,2013-11-14,2057,NA,NA
1745 W HILL ST 1,2013-10-22,772.94,NA,NA
1745 WILSON AVE,2013-10-24,265.25,NA,NA
1747 ST LOUIS AVE,2014-11-11,1379.75,NA,NA
1749 WILSON AVE,2013-08-27,1755.9099999999999,NA,NA
1760 W BURNETT AVE 1,2016-03-08,2904.28,NA,NA
1762 DUMESNIL ST 1,2016-05-03,1068.73,NA,NA
1762 DUMESNIL ST 2,2017-02-13,581.25,NA,NA
1769 W HILL ST,2014-11-12,1542.46,NA,NA
1774 W OAK ST,2013-06-05,327.5,NA,NA
1785 W ORMSBY AVE,2013-07-18,2167.45,NA,NA
1791 ALGONQUIN PKY,NA,0,NA,NA
